0	17	0
0	2	1
0	25	0
0	3	1
10	20	0
10	21	0
10	22	0
10	23	0
10	24	0
11	10	2
11	22	2
11	23	2
11	24	2
11	25	2
11	8	2
11	9	2
12	0	0
12	16	1
12	17	1
12	18	1
13	11	0
13	2	2
13	3	2
13	4	2
13	5	2
14	10	0
14	11	0
14	2	1
14	3	1
14	4	1
14	9	0
15	19	1
15	20	1
15	21	1
15	22	1
15	4	2
15	5	2
15	6	2
16	2	1
16	26	1
16	3	1
16	4	1
16	5	1
18	15	1
18	16	1
18	17	1
18	18	1
19	10	1
19	8	1
19	9	1
2	13	1
2	14	1
2	15	1
2	20	0
3	10	0
3	16	0
3	17	0
3	18	0
3	19	0
3	2	0
3	20	0
3	8	0
3	9	0
4	0	2
4	15	0
4	23	2
4	24	2
4	7	2
4	8	2
4	9	2
5	0	2
5	1	2
6	14	0
6	17	0
6	18	0
7	16	1
7	17	1
7	18	1
7	19	1
8	19	0
8	20	0
8	21	0
8	22	0
0	0	1
5	12	2
5	13	2
5	14	2
5	17	2
5	18	2
5	21	0
5	22	0
5	23	0
5	24	0
5	25	0
6	1	0
6	4	0
6	5	0
6	6	0
6	11	0
3	23	0
6	12	0
6	13	0
3	24	0
3	25	0
6	21	0
3	26	0
6	22	0
6	23	0
6	24	0
6	25	0
3	27	0
7	1	0
7	2	0
7	3	0
7	4	1
7	7	1
7	8	1
4	3	0
7	11	1
7	12	2
7	13	2
4	4	1
7	20	2
7	24	1
0	11	1
7	25	1
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
8	7	0
4	10	2
8	8	1
8	9	1
8	10	1
4	11	2
8	14	1
8	15	1
8	23	1
8	26	0
8	27	1
4	16	0
9	0	1
9	1	1
9	2	1
0	12	1
4	17	1
9	5	1
9	6	1
4	18	1
9	9	0
9	10	1
4	19	1
9	11	1
9	12	1
9	13	1
9	16	2
9	17	2
9	18	2
4	22	2
9	21	2
9	22	2
9	23	2
9	24	2
9	25	2
10	0	1
10	1	1
10	2	1
10	3	1
10	4	1
0	13	1
4	27	1
10	11	0
10	12	0
10	13	0
10	14	1
10	15	2
10	19	0
5	2	2
11	0	1
11	1	1
5	5	0
11	5	1
11	6	1
5	6	0
11	7	1
5	7	0
5	8	0
11	14	0
11	15	0
11	16	0
0	14	1
11	17	1
5	11	0
11	26	2
12	5	0
12	6	0
12	7	0
12	8	0
12	9	1
12	10	1
12	14	0
12	15	1
12	22	1
12	23	1
12	24	1
12	25	1
12	26	2
13	6	2
13	7	2
13	12	0
13	13	0
13	14	0
13	15	2
13	16	2
13	21	0
13	22	1
13	23	1
13	24	1
13	25	1
6	0	0
14	0	1
14	1	1
14	8	0
14	12	0
14	13	1
14	19	1
14	20	1
14	21	1
14	22	1
14	23	1
14	24	1
15	15	1
15	27	1
16	6	1
16	13	0
0	18	1
16	17	0
16	27	1
17	0	2
17	5	0
17	6	0
7	0	0
17	11	1
17	15	0
17	18	2
17	19	2
17	20	2
0	1	1
0	19	1
17	27	0
18	5	1
18	6	1
18	19	1
18	22	2
18	27	0
0	20	1
19	13	1
19	14	1
19	15	1
19	19	0
19	20	0
19	27	1
0	24	0
0	21	1
0	4	1
0	7	1
0	8	1
1	1	0
1	14	0
1	15	0
1	18	0
1	19	0
1	2	0
1	20	0
1	21	0
1	3	0
1	4	0
1	10	1
1	22	1
1	25	1
1	26	1
1	27	1
1	7	1
1	8	1
1	9	1
2	18	0
2	19	0
2	2	0
2	3	0
2	4	0
2	11	1
2	12	1
2	23	1
2	24	1
2	25	1
2	7	1
2	8	1
3	0	0
3	1	0
3	11	0
3	7	0
11	27	2
12	27	2
