,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,L,L,L,L,L,─,─,D,D,D,D,D,─,─,D,D,─,─,L,L,L,L,L,─,─,D,D,D,L,L,─,─,─,─,─,─,─,─,─,─,─,─,D,D,D,L,L,─,─,L,L,L,L,L,─,─,L,L,─,─,D,D,D,D,─,─,L,L,L,L,─,─,L,L,L,L,L,─,─,L,L,L,L,L,4,0,0,0,0,0,0,0,0,0,4,0,
1,L,─,─,E,E,L,L,─,─,L,L,L,L,L,─,─,E,E,E,L,L,─,─,─,L,L,L,L,─,─,E,L,L,─,─,E,E,E,─,─,─,─,L,L,L,L,L,─,─,─,E,E,E,E,L,─,─,L,L,L,L,─,─,L,L,L,L,L,─,─,E,L,L,L,─,─,─,L,L,L,L,─,─,─,2,0,0,0,0,0,0,0,0,0,2,0,
2,E,E,E,E,E,─,─,─,E,D,D,D,L,─,─,E,L,─,─,E,L,L,L,L,─,─,E,E,E,E,─,─,E,E,D,D,D,─,─,E,D,D,L,─,─,E,E,─,─,─,D,D,D,D,L,─,─,─,─,─,─,─,─,E,E,E,E,E,─,─,E,E,L,L,L,─,─,E,E,E,L,L,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
3,E,D,D,D,D,─,─,E,E,E,─,─,E,E,E,─,─,─,─,─,─,─,─,E,E,E,E,D,─,─,E,E,E,E,E,─,─,D,D,D,D,D,─,─,E,E,E,─,─,E,E,E,E,D,─,─,E,E,E,E,E,─,─,─,─,E,E,E,─,─,E,E,E,D,─,─,E,E,D,D,─,─,E,D,8,0,0,0,0,0,0,0,0,0,8,0,
4,L,L,L,L,L,─,─,D,D,D,L,L,─,─,L,L,L,─,─,L,L,L,L,─,─,─,─,D,D,L,L,─,─,L,L,L,L,L,─,─,L,L,─,─,D,D,─,─,─,D,L,L,L,─,─,─,─,L,L,L,L,L,─,─,L,L,L,─,─,─,D,D,D,D,L,─,─,─,─,L,L,L,L,L,6,0,0,0,0,0,0,0,0,0,6,0,
5,D,D,D,L,L,─,─,L,L,L,─,─,D,D,L,L,L,─,─,D,L,L,L,─,─,L,L,─,─,D,L,L,L,─,─,D,D,─,─,─,─,─,L,L,L,L,L,─,─,─,D,L,L,L,─,─,D,D,L,─,─,L,L,L,─,─,D,L,─,─,L,L,L,─,─,D,D,L,L,L,─,─,D,L,16,0,0,0,0,0,0,0,0,0,16,0,
6,─,E,E,E,E,─,─,E,E,E,E,E,─,─,─,─,─,─,─,E,E,E,─,─,D,D,─,─,L,L,L,─,─,E,D,L,─,─,E,E,E,E,D,─,─,L,L,L,L,L,─,─,L,L,─,─,E,E,E,E,E,─,─,E,E,E,E,E,─,─,E,E,E,E,E,─,─,E,E,D,─,─,E,E,8,0,0,0,0,0,0,0,0,0,6,2,
7,L,L,─,─,─,─,E,E,E,L,L,─,─,─,E,E,D,L,L,─,─,E,L,L,L,L,─,─,D,D,─,─,E,D,─,─,E,E,D,L,─,─,E,D,─,─,E,E,E,─,─,─,E,E,E,E,L,─,─,E,E,E,E,D,─,─,E,E,D,D,─,─,E,E,E,─,─,E,E,E,E,E,─,─,8,0,0,0,0,0,0,0,0,0,8,0,
8,E,E,E,E,E,─,─,E,E,E,E,L,─,─,─,─,E,E,L,─,─,D,L,L,L,L,─,─,L,L,─,─,─,─,─,─,─,─,E,E,L,L,L,─,─,E,E,E,L,─,─,E,L,L,─,─,E,E,E,─,─,E,E,D,L,─,─,E,E,E,E,L,─,─,E,E,D,D,L,─,─,E,E,E,8,0,0,0,0,0,0,0,0,0,8,0,
9,D,L,L,─,─,─,─,─,─,─,─,E,D,D,─,─,E,D,L,L,─,─,E,D,D,L,─,─,E,E,E,E,E,─,─,E,E,E,E,E,─,─,D,D,D,D,L,─,─,E,E,E,D,─,─,─,─,─,E,L,L,L,L,─,─,E,E,E,E,D,─,─,─,E,E,E,E,E,─,─,E,E,E,E,6,0,0,0,0,0,0,0,0,0,6,0,
